gems9_emotion,song_name,artist,spotify_id,spotify_uri
Tension,Modo avião (Full Story) - English version,Lucas Santtana,7IOXAShmyo8nQIY7xx4S6H,spotify:track:7IOXAShmyo8nQIY7xx4S6H
Tension,Closer,Nine Inch Nails,5mc6EyF1OIEOhAkD0Gg9Lc,spotify:track:5mc6EyF1OIEOhAkD0Gg9Lc
Tension,Closer,Nine Inch Nails,2Mv8In1IykWH5oLDc66PRC,spotify:track:2Mv8In1IykWH5oLDc66PRC
Tension,Hot Dog,Limp Bizkit,6Zj3YsYfj8YTY9aGMDnpn8,spotify:track:6Zj3YsYfj8YTY9aGMDnpn8
Tension,Angel,"Massive Attack, Horace Andy",7uv632EkfwYhXoqf8rhYrg,spotify:track:7uv632EkfwYhXoqf8rhYrg
Tension,Angel - Remastered 2019,"Massive Attack, Horace Andy",2hzosckvm3EX3kSZacr9Bi,spotify:track:2hzosckvm3EX3kSZacr9Bi
Tension,Massive Attack,"Nicki Minaj, Sean Garrett",5h5sJvkKdIfC4yjALOmPn7,spotify:track:5h5sJvkKdIfC4yjALOmPn7
Sadness,Sad Sadness (Piano & Orchestra) - Melancholic Music Sentimental Emotional Instrumental Love Song,Sad Piano Music Instrumental Collective Australia,2UHv6ccJEtPQOlDVRMoHj2,spotify:track:2UHv6ccJEtPQOlDVRMoHj2
Sadness,Melancholy,Martin Czerny,6LxYirZtoipJNh5eBl05gC,spotify:track:6LxYirZtoipJNh5eBl05gC
Sadness,Sad & Slow (avec Julien Doré),"Clara Luciani, Julien Doré",3Pjr1PIVNldDaRtX0EsjFh,spotify:track:3Pjr1PIVNldDaRtX0EsjFh
Sadness,Last Heartbreak Song (feat. Giveon),"Ayra Starr, GIVĒON",1A1ifX8sWzelNpkL5PxcHT,spotify:track:1A1ifX8sWzelNpkL5PxcHT
Sadness,The Heartbreak Anthem,"DJ Nitish Gulyani, Abhay Jodhpurkar, Vishal Mishra, Asees Kaur, Asim Azhar, Arjun Kanungo, Momina Mustehsan",3CTnb6QZHgJJS7WqwhP6M8,spotify:track:3CTnb6QZHgJJS7WqwhP6M8
Sadness,Heartbreak Away,Kelsey Lamb,7mwIAamZoMFiYnhBgePpPn,spotify:track:7mwIAamZoMFiYnhBgePpPn
Sadness,Exit Music (For A Film),Radiohead,0z1o5L7HJx562xZSATcIpY,spotify:track:0z1o5L7HJx562xZSATcIpY
Sadness,The One That Got Away,Katy Perry,2009X8GyWTqyxIdzAEYW6N,spotify:track:2009X8GyWTqyxIdzAEYW6N
Sadness,Welcome to Las Vegas,Ambien Blackout,09LphbjzT3fkI7VKLczl8r,spotify:track:09LphbjzT3fkI7VKLczl8r
Sadness,Hurt,Johnny Cash,28cnXtME493VX9NOw9cIUh,spotify:track:28cnXtME493VX9NOw9cIUh
Sadness,Johnny cash hurt type beat,Dean Blunt,77AuoSrgXRwnecOPEtYICh,spotify:track:77AuoSrgXRwnecOPEtYICh
Sadness,Hurt (Dedicated To Johnny Cash) - Live,Sevendust,0zkHgbZkzl5XYDqgD9ulhe,spotify:track:0zkHgbZkzl5XYDqgD9ulhe
