spotifyid,mp3,spec_npy,n_mels,n_frames
2QNGtrmFLtSavGA5EPUi1u,"DataSets\audio\Juan-Alfonso Garcia - 6 Caprichos_ No. 4, Chumbera.mp3","DataSets\img\Juan-Alfonso Garcia - 6 Caprichos_ No. 4, Chumbera.npy",128,5349
5lV9bzXhBYRL1MqUicvWNY,"DataSets\audio\Juan-Alfonso Garcia - 6 Caprichos_ No. 5, Pita.mp3","DataSets\img\Juan-Alfonso Garcia - 6 Caprichos_ No. 5, Pita.npy",128,5349
5pvF7hKdwBRL0QQKCSqmZi,"DataSets\audio\Juan-Alfonso Garcia - Amarillos_ No. 2, Tarde encendida.mp3","DataSets\img\Juan-Alfonso Garcia - Amarillos_ No. 2, Tarde encendida.npy",128,7371
5jCB7MXfknSWouuPZnIlSZ,"DataSets\audio\Juan-Alfonso Garcia - Amarillos_ No. 3, Serena de amarillos.mp3","DataSets\img\Juan-Alfonso Garcia - Amarillos_ No. 3, Serena de amarillos.npy",128,21882
1wyJrZjundLcJjJFCWHaaj,"DataSets\audio\Juan-Alfonso Garcia - 6 Caprichos_ No. 1, Guitarra.mp3","DataSets\img\Juan-Alfonso Garcia - 6 Caprichos_ No. 1, Guitarra.npy",128,5349
2VhIYX89AJV2rEpFzyHPAJ,"DataSets\audio\Juan-Alfonso Garcia - 6 Caprichos_ No. 2, Candil.mp3","DataSets\img\Juan-Alfonso Garcia - 6 Caprichos_ No. 2, Candil.npy",128,10806
1xIyQEcnbco2Xi2kpFmQwq,"DataSets\audio\Juan-Alfonso Garcia - 6 Caprichos_ No. 6, Cruz.mp3","DataSets\img\Juan-Alfonso Garcia - 6 Caprichos_ No. 6, Cruz.npy",128,12627
3zWLGLDtXn84S5YnOJNJWN,DataSets\audio\Pablo Ortiz - Gallos y Huesos_ Si Cuando Cae la Noche.mp3,DataSets\img\Pablo Ortiz - Gallos y Huesos_ Si Cuando Cae la Noche.npy,128,35620
4Fzg2fINfuvfLF3RIdDgkZ,,,,
6qtEvMImPiolMMFb6JVB2q,,,,
79OvD8Uk5EKoFt5kRfNIxr,DataSets\audio\Pablo Ortiz - Notker_ XIII. Organ Solo.mp3,DataSets\img\Pablo Ortiz - Notker_ XIII. Organ Solo.npy,128,4615
